iter	Passed	Remaining
418	2972	32493
419	2977	32471
420	2982	32438
421	2987	32413
422	2993	32390
423	2998	32360
424	3003	32329
425	3008	32302
426	3012	32265
427	3017	32234
428	3024	32224
429	3028	32187
430	3033	32155
431	3040	32147
432	3048	32151
433	3062	32219
434	3075	32277
435	3081	32254
436	3087	32235
437	3092	32205
438	3097	32178
439	3103	32159
440	3107	32125
441	3112	32100
442	3118	32079
443	3122	32044
444	3127	32012
445	3133	31993
446	3138	31965
447	3142	31933
448	3149	31921
449	3154	31898
450	3159	31868
451	3165	31855
452	3171	31836
453	3177	31820
454	3182	31790
455	3187	31760
456	3194	31755
457	3199	31731
458	3205	31709
459	3212	31705
460	3218	31691
461	3226	31692
462	3233	31687
463	3241	31684
464	3247	31670
465	3252	31646
466	3258	31630
467	3265	31620
468	3270	31596
469	3277	31587
470	3282	31565
471	3301	31672
472	3316	31742
473	3322	31724
474	3326	31694
475	3331	31664
476	3337	31644
477	3342	31617
478	3347	31596
479	3353	31579
480	3359	31558
481	3364	31539
482	3372	31543
483	3380	31545
484	3382	31491
485	3389	31482
486	3395	31466
487	3402	31456
488	3408	31442
489	3416	31448
490	3424	31447
491	3433	31460
492	3441	31458
493	3452	31492
494	3459	31480
495	3466	31481
496	3474	31476
497	3481	31471
498	3489	31471
499	3495	31458
500	3505	31478
501	3513	31482
502	3521	31481
503	3544	31617
504	3563	31719
505	3575	31755
506	3582	31748
507	3588	31730
508	3595	31725
509	3603	31724
510	3612	31732
511	3619	31723
512	3629	31745
513	3637	31742
514	3644	31740
515	3651	31730
516	3657	31718
517	3667	31735
518	3677	31750
519	3683	31736
520	3690	31725
521	3699	31737
522	3706	31727
523	3715	31741
524	3722	31731
525	3728	31717
526	3737	31719
527	3744	31712
528	3752	31715
529	3759	31703
530	3789	31895
531	3796	31885
532	3801	31859
533	3806	31838
534	3814	31834
535	3822	31832
536	3830	31837
537	3835	31811
538	3839	31778
539	3845	31764
540	3850	31733
541	3854	31703
542	3860	31686
543	3865	31664
544	3869	31634
545	3875	31614
546	3881	31596
547	3884	31557
548	3890	31545
549	3896	31525
550	3901	31504
551	3908	31494
552	3913	31470
553	3918	31450
554	3925	31439
555	3930	31413
556	3935	31390
557	3941	31375
558	3946	31353
559	3951	31332
560	3958	31323
561	3963	31297
562	3969	31280
563	3973	31254
564	3978	31231
565	3983	31205
566	3988	31184
567	3992	31154
568	3997	31130
569	4018	31230
570	4034	31290
571	4039	31273
572	4045	31255
573	4053	31254
574	4058	31236
575	4064	31221
576	4069	31197
577	4075	31180
578	4083	31178
579	4088	31153
580	4092	31127
581	4097	31106
582	4102	31079
583	4106	31051
584	4112	31037
585	4117	31016
586	4120	30978
587	4123	30938
588	4130	30930
589	4135	30908
590	4140	30887
591	4146	30874
592	4150	30848
593	4154	30819
594	4160	30803
595	4166	30783
596	4170	30757
597	4171	30708
598	4178	30701
599	4183	30679
600	4187	30652
601	4192	30632
602	4197	30608
603	4202	30582
604	4207	30567
605	4212	30542
606	4216	30515
607	4221	30493
608	4226	30471
609	4227	30424
610	4232	30405
611	4242	30421
612	4257	30470
613	4265	30471
614	4271	30455
615	4275	30429
616	4280	30409
617	4286	30393
618	4290	30366
619	4294	30341
620	4299	30321
621	4305	30305
622	4311	30290
623	4318	30285
624	4325	30279
625	4333	30277
626	4338	30261
627	4344	30245
628	4352	30247
629	4359	30239
630	4365	30223
631	4370	30206
632	4376	30190
633	4382	30177
634	4386	30154
635	4391	30130
636	4396	30114
637	4401	30095
638	4407	30078
639	4415	30080
640	4420	30063
641	4428	30058
642	4434	30045
643	4439	30030
644	4447	30027
645	4454	30022
646	4459	30006
647	4465	29988
648	4469	29966
649	4474	29944
650	4493	30016
651	4503	30030
652	4508	30013
653	4512	29986
654	4516	29961
655	4521	29938
656	4525	29913
657	4529	29887
658	4533	29861
659	4537	29839
660	4542	29815
661	4547	29796
662	4551	29770
663	4556	29753
664	4560	29727
665	4564	29703
666	4568	29680
667	4573	29659
668	4578	29639
669	4582	29614
670	4586	29592
671	4590	29566
672	4594	29540
673	4598	29516
674	4603	29495
675	4606	29468
676	4610	29441
677	4614	29418
678	4618	29392
679	4623	29370
680	4626	29344
681	4631	29325
682	4635	29299
683	4639	29275
684	4643	29248
685	4648	29230
686	4652	29206
687	4656	29185
688	4660	29160
689	4664	29139
690	4668	29114
691	4672	29088
692	4676	29066
693	4680	29042
694	4684	29016
695	4688	28991
696	4693	28976
697	4697	28954
698	4701	28930
699	4705	28908
700	4711	28891
701	4734	28984
702	4743	28996
703	4748	28974
704	4752	28954
705	4758	28940
706	4762	28917
707	4766	28895
708	4772	28881
709	4776	28859
710	4780	28836
711	4784	28811
712	4789	28798
713	4794	28779
714	4798	28756
715	4802	28734
716	4807	28718
717	4811	28697
718	4816	28675
719	4898	29119
720	4904	29108
721	4909	29088
722	4913	29065
723	4928	29109
724	4932	29086
725	4937	29068
726	4941	29046
727	4946	29024
728	4952	29012
729	4963	29030
730	4986	29120
731	4991	29102
732	4995	29080
733	5001	29066
734	5005	29044
735	5010	29026
736	5016	29014
737	5020	28994
738	5024	28973
739	5030	28957
740	5034	28936
741	5038	28914
742	5044	28899
743	5048	28877
744	5052	28857
745	5057	28838
746	5059	28804
747	5063	28786
748	5069	28771
749	5073	28748
750	5078	28733
751	5082	28712
752	5086	28690
753	5092	28674
754	5096	28654
755	5100	28633
756	5104	28612
757	5110	28601
758	5114	28579
759	5119	28558
760	5124	28543
761	5128	28523
762	5132	28502
763	5138	28490
764	5142	28469
765	5146	28449
766	5151	28428
767	5156	28412
768	5160	28391
769	5164	28370
770	5168	28349
771	5174	28336
772	5178	28319
773	5183	28299
774	5188	28285
775	5197	28290
776	5212	28329
777	5221	28337
778	5225	28316
779	5231	28303
780	5237	28290
781	5242	28276
782	5246	28257
783	5251	28242
784	5255	28220
785	5259	28199
786	5265	28189
787	5270	28169
788	5274	28150
789	5278	28130
790	5283	28112
791	5288	28096
792	5293	28081
793	5298	28069
794	5301	28040
795	5305	28019
796	5309	27998
797	5314	27986
798	5318	27966
799	5323	27946
800	5327	27930
801	5332	27911
802	5336	27892
803	5340	27871
804	5346	27861
805	5351	27843
806	5355	27823
807	5361	27815
808	5365	27797
809	5369	27776
810	5375	27766
811	5382	27761
812	5388	27749
813	5393	27737
814	5397	27718
815	5402	27703
816	5408	27692
817	5413	27677
818	5417	27658
819	5423	27645
820	5427	27626
821	5445	27676
822	5458	27702
823	5463	27689
824	5469	27679
825	5474	27663
826	5478	27645
827	5483	27631
828	5488	27614
829	5492	27596
830	5500	27594
831	5504	27577
832	5510	27563
833	5515	27550
834	5519	27531
835	5523	27514
836	5528	27495
837	5532	27479
838	5537	27462
839	5541	27444
840	5547	27434
841	5551	27416
842	5556	27399
843	5561	27384
844	5565	27366
845	5570	27349
846	5575	27335
847	5586	27353
848	5590	27335
849	5596	27321
850	5600	27307
851	5605	27289
852	5611	27278
853	5615	27262
854	5620	27246
855	5625	27233
856	5631	27223
857	5636	27208
858	5641	27198
859	5647	27188
860	5652	27171
861	5658	27161
862	5661	27142
863	5676	27174
864	5689	27200
865	5694	27182
866	5698	27163
867	5703	27149
868	5707	27131
869	5711	27112
870	5715	27093
871	5720	27080
872	5724	27063
873	5728	27044
874	5732	27026
875	5737	27011
876	5741	26994
877	5746	26976
878	5751	26963
879	5755	26945
880	5759	26927
881	5763	26911
882	5769	26900
883	5774	26884
884	5781	26883
885	5786	26870
886	5790	26852
887	5794	26832
888	5799	26820
889	5803	26802
890	5808	26784
891	5813	26771
892	5817	26753
893	5821	26736
894	5825	26720
895	5830	26707
896	5835	26690
897	5838	26671
898	5844	26661
899	5848	26642
900	5852	26624
901	5856	26607
902	5862	26596
903	5866	26579
904	5870	26562
905	5875	26548
906	5880	26535
907	5884	26519
908	5888	26502
909	5894	26491
910	5898	26474
911	5915	26515
912	5923	26516
913	5927	26499
914	5931	26481
915	5935	26464
916	5941	26454
917	5945	26437
918	5949	26419
919	5954	26407
920	5958	26391
921	5962	26373
922	5967	26357
923	5972	26344
924	5976	26329
925	5981	26314
926	5987	26305
927	5991	26288
928	5995	26271
929	5999	26256
930	6004	26241
931	6008	26223
932	6012	26207
933	6017	26195
934	6021	26178
935	6025	26162
936	6031	26155
937	6037	26145
938	6042	26132
939	6047	26119
940	6051	26103
941	6055	26085
942	6059	26069
943	6064	26055
944	6068	26040
945	6072	26023
946	6076	26007
947	6081	25993
948	6085	25977
949	6089	25960
950	6094	25946
951	6098	25931
952	6102	25915
953	6106	25898
954	6111	25886
955	6115	25869
956	6119	25854
957	6125	25844
958	6130	25831
959	6134	25816
960	6147	25838
961	6164	25876
962	6170	25866
963	6175	25856
964	6180	25842
965	6183	25823
966	6188	25810
967	6193	25796
968	6197	25780
969	6201	25764
970	6206	25752
971	6210	25736
972	6214	25721
973	6219	25706
974	6223	25693
975	6227	25676
976	6232	25661
977	6238	25654
978	6242	25638
979	6246	25621
980	6250	25606
981	6254	25593
982	6258	25576
983	6262	25561
984	6268	25551
985	6273	25540
986	6278	25528
987	6284	25519
988	6288	25505
989	6293	25490
990	6299	25484
991	6305	25475
992	6309	25461
993	6315	25450
994	6319	25437
995	6325	25427
996	6331	25419
997	6339	25420
998	6344	25411
999	6350	25402
1000	6355	25391
1001	6366	25401
1002	6370	25388
1003	6387	25423
1004	6411	25486
1005	6417	25479
1006	6422	25466
1007	6431	25469
1008	6440	25473
1009	6447	25469
1010	6454	25466
1011	6460	25460
1012	6465	25445
1013	6471	25440
1014	6476	25427
1015	6481	25416
1016	6487	25406
1017	6492	25396
1018	6498	25387
1019	6505	25382
1020	6510	25373
1021	6516	25363
1022	6524	25364
1023	6529	25353
1024	6537	25353
1025	6543	25344
1026	6548	25333
1027	6564	25365
1028	6575	25376
1029	6581	25366
1030	6588	25362
1031	6594	25353
1032	6600	25347
1033	6607	25343
1034	6620	25361
1035	6631	25372
1036	6640	25378
1037	6647	25373
1038	6651	25359
1039	6656	25345
1040	6661	25335
1041	6666	25321
1042	6670	25306
1043	6674	25291
1044	6679	25279
1045	6683	25265
1046	6685	25241
1047	6689	25227
1048	6695	25217
1049	6700	25205
1050	6704	25191
1051	6710	25182
1052	6714	25168
1053	6718	25153
1054	6723	25142
1055	6728	25129
1056	6732	25115
1057	6736	25101
1058	6741	25089
1059	6745	25074
1060	6749	25058
1061	6755	25048
1062	6758	25029
1063	6763	25018
1064	6766	25002
1065	6772	24993
1066	6776	24979
1067	6780	24964
1068	6786	24954
1069	6788	24934
1070	6792	24919
1071	6797	24906
1072	6802	24896
1073	6807	24884
1074	6811	24871
1075	6816	24860
1076	6821	24847
1077	6825	24831
1078	6829	24817
1079	6836	24812
1080	6840	24798
1081	6845	24786
1082	6863	24824
1083	6871	24823
1084	6875	24809
1085	6880	24799
1086	6884	24784
1087	6889	24770
1088	6894	24759
1089	6898	24746
1090	6903	24733
1091	6907	24719
1092	6912	24708
1093	6916	24695
1094	6920	24680
1095	6925	24669
1096	6930	24656
1097	6934	24642
1098	6938	24628
1099	6943	24618
1100	6947	24605
1101	6952	24591
1102	6957	24581
1103	6962	24570
1104	6968	24561
1105	6973	24550
1106	6977	24536
1107	6981	24523
1108	6985	24510
1109	6989	24495
1110	6995	24486
1111	7000	24477
1112	7003	24460
1113	7009	24452
1114	7016	24446
1115	7022	24440
1116	7027	24429
1117	7032	24420
1118	7039	24414
1119	7044	24405
1120	7050	24395
1121	7057	24391
1122	7063	24386
1123	7069	24379
1124	7074	24367
1125	7078	24353
1126	7083	24342
1127	7087	24328
1128	7091	24312
1129	7103	24327
1130	7117	24348
1131	7130	24363
1132	7134	24350
1133	7138	24336
1134	7142	24321
1135	7146	24309
1136	7150	24295
1137	7154	24281
1138	7158	24267
1139	7163	24255
1140	7167	24240
1141	7170	24225
1142	7175	24212
1143	7179	24198
1144	7183	24185
1145	7187	24171
1146	7192	24162
1147	7196	24147
1148	7200	24134
1149	7204	24119
1150	7210	24110
1151	7213	24096
1152	7218	24083
1153	7222	24071
1154	7227	24059
1155	7231	24046
1156	7236	24034
1157	7241	24024
1158	7246	24013
1159	7250	24001
1160	7255	23991
1161	7259	23978
1162	7263	23963
1163	7267	23949
1164	7271	23938
1165	7276	23924
1166	7277	23902
1167	7281	23888
1168	7286	23878
1169	7290	23864
1170	7294	23850
1171	7297	23836
1172	7303	23828
1173	7307	23814
1174	7311	23801
1175	7316	23792
1176	7320	23778
1177	7324	23764
1178	7328	23750
1179	7343	23772
1180	7352	23775
1181	7356	23761
1182	7360	23748
1183	7365	23737
1184	7368	23723
1185	7372	23710
1186	7376	23696
1187	7381	23685
1188	7385	23671
1189	7390	23662
1190	7396	23654
1191	7400	23641
1192	7404	23627
1193	7407	23613
1194	7413	23605
1195	7417	23592
1196	7421	23579
1197	7427	23571
1198	7431	23557
1199	7434	23543
1200	7438	23529
1201	7443	23520
1202	7447	23506
1203	7451	23492
1204	7455	23479
1205	7459	23468
1206	7463	23454
1207	7467	23440
1208	7471	23426
1209	7475	23416
1210	7479	23402
1211	7483	23389
1212	7487	23375
1213	7491	23363
1214	7493	23343
1215	7497	23329
1216	7500	23316
1217	7505	23305
1218	7509	23292
1219	7514	23281
1220	7518	23270
1221	7523	23259
1222	7527	23245
1223	7531	23233
1224	7536	23226
1225	7541	23214
1226	7545	23202
1227	7551	23196
1228	7556	23184
1229	7560	23171
1230	7564	23160
1231	7584	23196
1232	7595	23206
1233	7603	23205
1234	7608	23195
1235	7615	23191
1236	7620	23181
1237	7625	23172
1238	7632	23169
1239	7636	23157
1240	7640	23143
1241	7646	23137
1242	7650	23125
1243	7654	23112
1244	7658	23099
1245	7664	23092
1246	7673	23095
1247	7684	23102
1248	7688	23091
1249	7694	23084
1250	7698	23070
1251	7702	23057
1252	7706	23044
1253	7711	23034
1254	7734	23079
1255	7750	23102
1256	7782	23174
1257	7792	23178
1258	7796	23166
1259	7800	23154
1260	7826	23207
1261	7841	23225
1262	7845	23213
1263	7849	23200
1264	7854	23189
1265	7858	23178
1266	7862	23165
1267	7866	23152
1268	7870	23141
1269	7875	23129
1270	7879	23117
1271	7883	23104
1272	7888	23094
1273	7892	23081
1274	7895	23068
1275	7899	23054
1276	7904	23043
1277	7908	23031
1278	7912	23019
1279	7916	23008
1280	7921	22997
1281	7925	22986
1282	7929	22972
1283	7934	22963
1284	7938	22950
1285	7942	22936
1286	7945	22924
1287	7950	22914
1288	7954	22901
1289	7958	22889
1290	7963	22878
1291	7967	22867
1292	7971	22854
1293	7975	22841
1294	7980	22832
1295	7984	22819
1296	7988	22806
1297	7992	22794
1298	7997	22784
1299	8000	22771
1300	8004	22759
1301	8009	22748
1302	8013	22737
1303	8017	22724
1304	8021	22711
1305	8026	22703
1306	8030	22691
1307	8034	22679
1308	8038	22666
1309	8043	22656
1310	8047	22643
1311	8056	22647
1312	8071	22665
1313	8083	22676
1314	8090	22672
1315	8094	22659
1316	8098	22646
1317	8102	22634
1318	8106	22622
1319	8110	22610
1320	8114	22597
1321	8118	22585
1322	8122	22574
1323	8127	22564
1324	8130	22551
1325	8135	22542
1326	8139	22530
1327	8143	22517
1328	8147	22504
1329	8150	22489
1330	8153	22476
1331	8160	22471
1332	8164	22461
1333	8169	22449
1334	8172	22437
1335	8176	22424
1336	8181	22416
1337	8185	22404
1338	8189	22391
1339	8193	22380
1340	8198	22371
1341	8203	22361
1342	8207	22348
1343	8213	22341
1344	8217	22330
1345	8221	22318
1346	8225	22306
1347	8230	22299
1348	8234	22287
1349	8239	22276
1350	8244	22268
1351	8248	22257
1352	8252	22244
1353	8256	22232
1354	8261	22223
1355	8265	22211
1356	8269	22199
1357	8274	22190
1358	8279	22182
1359	8283	22170
1360	8297	22186
1361	8307	22189
1362	8311	22177
1363	8315	22165
1364	8319	22153
1365	8324	22145
1366	8328	22133
1367	8332	22121
1368	8337	22113
1369	8341	22102
1370	8346	22092
1371	8349	22079
1372	8355	22071
1373	8358	22059
1374	8362	22047
1375	8366	22035
1376	8371	22024
1377	8374	22013
1378	8378	22001
1379	8383	21990
1380	8386	21978
1381	8390	21966
1382	8394	21954
1383	8399	21945
1384	8403	21934
1385	8407	21922
1386	8411	21910
1387	8416	21902
1388	8420	21890
1389	8423	21877
1390	8427	21866
1391	8432	21857
1392	8436	21845
1393	8440	21834
1394	8444	21823
1395	8449	21814
1396	8454	21804
1397	8458	21793
1398	8464	21788
1399	8468	21776
1400	8472	21764
1401	8477	21755
1402	8481	21744
1403	8485	21732
1404	8488	21720
1405	8494	21712
1406	8497	21700
1407	8502	21689
1408	8506	21678
1409	8511	21672
1410	8516	21661
1411	8519	21649
1412	8524	21641
1413	8529	21631
1414	8537	21629
1415	8555	21653
1416	8563	21652
1417	8567	21641
1418	8572	21633
1419	8576	21621
1420	8580	21610
1421	8584	21600
1422	8588	21589
1423	8593	21580
1424	8597	21568
1425	8604	21565
1426	8608	21554
1427	8612	21543
1428	8617	21533
1429	8621	21524
1430	8626	21515
1431	8631	21507
1432	8638	21504
1433	8644	21496
1434	8651	21492
1435	8655	21481
1436	8661	21475
1437	8667	21469
1438	8671	21459
1439	8675	21448
1440	8682	21443
1441	8688	21436
1442	8692	21428
1443	8700	21426
1444	8705	21417
1445	8711	21412
1446	8716	21402
1447	8721	21394
1448	8728	21389
1449	8733	21381
1450	8737	21371
1451	8743	21365
1452	8748	21357
1453	8753	21348
1454	8762	21348
1455	8767	21339
1456	8779	21349
1457	8800	21378
1458	8807	21376
1459	8814	21371
1460	8818	21360
1461	8824	21354
1462	8830	21348
1463	8835	21340
1464	8842	21336
1465	8847	21327
1466	8874	21371
1467	8878	21362
1468	8883	21351
1469	8891	21351
1470	8896	21342
1471	8901	21333
1472	8905	21324
1473	8911	21318
1474	8916	21309
1475	8922	21301
1476	8926	21291
1477	8930	21281
1478	8937	21277
1479	8941	21266
1480	8946	21256
1481	8952	21252
1482	8956	21241
1483	8960	21229
1484	8965	21221
1485	8969	21210
1486	8973	21199
1487	8977	21187
1488	8981	21178
1489	8985	21168
1490	8989	21156
1491	8993	21146
1492	8998	21137
1493	9002	21126
1494	9006	21116
1495	9020	21127
1496	9036	21144
1497	9042	21139
1498	9047	21129
1499	9051	21119
1500	9054	21108
1501	9059	21099
1502	9063	21087
1503	9067	21076
1504	9070	21065
1505	9076	21057
1506	9080	21047
1507	9084	21036
1508	9088	21025
1509	9092	21015
1510	9096	21004
1511	9100	20993
1512	9104	20982
1513	9109	20974
1514	9113	20964
1515	9117	20954
1516	9122	20945
1517	9126	20934
1518	9130	20923
1519	9134	20912
1520	9139	20905
1521	9143	20894
1522	9147	20882
1523	9151	20873
1524	9155	20863
1525	9159	20851
1526	9163	20840
1527	9169	20834
1528	9172	20823
1529	9173	20806
1530	9177	20795
1531	9182	20785
1532	9186	20775
1533	9189	20764
1534	9194	20754
1535	9199	20746
1536	9203	20735
1537	9207	20726
1538	9211	20715
1539	9216	20707
1540	9220	20696
1541	9224	20686
1542	9228	20676
1543	9232	20666
1544	9236	20655
1545	9241	20646
1546	9256	20660
1547	9277	20687
1548	9283	20682
1549	9287	20672
1550	9292	20663
1551	9297	20656
1552	9302	20646
1553	9307	20638
1554	9311	20628
1555	9314	20617
1556	9318	20606
1557	9323	20598
1558	9328	20588
1559	9331	20577
1560	9335	20566
1561	9340	20559
1562	9344	20548
1563	9348	20537
1564	9351	20526
1565	9356	20518
1566	9360	20507
1567	9364	20497
1568	9368	20487
1569	9373	20477
1570	9376	20466
1571	9380	20456
1572	9385	20448
1573	9390	20438
1574	9394	20428
1575	9398	20418
1576	9403	20410
1577	9407	20400
1578	9412	20392
1579	9417	20384
1580	9420	20373
1581	9424	20362
1582	9428	20352
1583	9433	20344
1584	9437	20333
1585	9441	20323
1586	9445	20313
1587	9451	20307
1588	9455	20297
1589	9459	20286
1590	9463	20277
1591	9468	20268
1592	9472	20259
1593	9476	20249
1594	9493	20267
1595	9510	20283
1596	9520	20287
1597	9526	20281
1598	9533	20277
1599	9537	20267
1600	9542	20258
1601	9549	20255
1602	9554	20246
1603	9560	20240
1604	9564	20232
1605	9570	20225
1606	9579	20226
1607	9583	20216
1608	9590	20213
1609	9597	20207
1610	9601	20197
1611	9607	20192
1612	9614	20188
1613	9618	20179
1614	9625	20173
1615	9633	20172
1616	9641	20171
1617	9650	20170
1618	9658	20169
1619	9662	20160
1620	9667	20151
1621	9672	20143
1622	9677	20136
1623	9682	20128
1624	9690	20126
1625	9695	20118
1626	9700	20110
1627	9705	20102
1628	9710	20093
1629	9713	20082
1630	9723	20085
1631	9736	20092
1632	9743	20090
1633	9748	20082
1634	9752	20071
1635	9758	20065
1636	9762	20054
1637	9767	20046
1638	9771	20036
1639	9775	20027
1640	9780	20019
1641	9784	20009
1642	9788	19999
1643	9792	19989
1644	9797	19981
1645	9801	19971
1646	9805	19961
1647	9808	19951
1648	9813	19943
1649	9817	19933
1650	9821	19922
1651	9826	19914
1652	9830	19903
1653	9834	19894
1654	9837	19883
1655	9843	19876
1656	9846	19866
1657	9850	19855
1658	9854	19845
1659	9859	19837
1660	9863	19827
1661	9867	19818
1662	9872	19809
1663	9876	19800
1664	9880	19790
1665	9884	19780
1666	9889	19772
1667	9893	19762
1668	9896	19752
1669	9900	19742
1670	9905	19734
1671	9909	19724
1672	9913	19714
1673	9917	19705
1674	9922	19696
1675	9926	19686
1676	9929	19676
1677	9933	19666
